"File"	"Speaker"	"Wordcount"
"DPC139"	"KL"	727
"DPC139"	"MY"	725
"DPC140"	"DR"	855
"DPC140"	"MT"	1168
"DPC141"	"RT"	1086
"DPC141"	"WG"	1027
"DPC151"	"AF"	1236
"DPC151"	"BV"	858
"DPC153"	"AH"	714
"DPC153"	"ME"	1127
"DPC153"	"SI"	162
"DPC154"	"EM"	1086
"DPC154"	"PA"	1541
"DPC156"	"BE"	1095
"DPC156"	"SH"	911
"DPC157"	"JD"	1142
"DPC157"	"SL"	886
"DPC158"	"CR"	369
"DPC158"	"HP"	12
"DPC158"	"LK"	202
"DPC158"	"NT"	502
"DPC158"	"RO"	101
"DPC158"	"SN"	454
"DPC158"	"XX"	151
"DPC159"	"KT"	1439
"DPC159"	"LU"	770
"DPC160"	"NT"	721
"DPC160"	"RW"	1374
"DPC160"	"XX"	270
"DPC161"	"CA"	279
"DPC161"	"GD"	195
"DPC161"	"HP"	1020
"DPC161"	"IR"	8
"DPC161"	"NT"	440
"DPC161"	"WW"	5
"DPC161"	"XX"	333
"DPC162"	"AL"	994
"DPC162"	"MM"	699
"DPC162"	"TR"	230
"DPC162"	"XX"	482
"DPC163"	"AL"	994
"DPC163"	"MM"	728
"DPC163"	"TR"	410
"DPC163"	"XX"	340
"DPC164"	"GE"	488
"DPC164"	"LD"	808
"DPC164"	"RC"	865
"DPC164"	"XX"	7
"DPC166"	"KF"	1418
"DPC166"	"SI"	716
"DPC169"	"AD"	1092
"DPC169"	"SH"	928
"DPC169"	"X1"	6
"DPC169"	"X2"	3
"DPC170"	"AL"	778
"DPC170"	"JU"	1261
"DPC171"	"??"	1
"DPC171"	"AS"	990
"DPC171"	"BA"	586
"DPC171"	"JQ"	486
"DPC171"	"PT"	28
"DPC172"	"DD"	1072
"DPC172"	"KH"	222
"DPC172"	"SM"	707
"DPC174"	"AG"	1195
"DPC174"	"BR"	185
"DPC174"	"JU"	362
"DPC175"	"AG"	1055
"DPC175"	"BR"	247
"DPC175"	"JU"	762
"DPC175"	"KN"	26
"DPC176"	"LC"	758
"DPC176"	"RW"	1178
"DPC177"	"CR"	677
"DPC177"	"DI"	960
"DPC177"	"MT"	359
"DPC179"	"FA"	918
"DPC179"	"MA"	1061
"DPC179"	"XX"	43
"DPC180"	"MK"	557
"DPC180"	"VV"	1426
"DPC180"	"XX"	16
"DPC181"	"FG"	1407
"DPC181"	"MJ"	385
"DPC181"	"RW"	694
"DPC182"	"FG"	506
"DPC182"	"MJ"	228
"DPC182"	"RW"	1813
